Monday,"FSC
TimeTable for Fall-2023",Unnamed: 2,Unnamed: 3,BS CS (2023),Unnamed: 5,Unnamed: 6,BS DS (2023),Unnamed: 8,Unnamed: 9,BS AI (2023),Unnamed: 11,Unnamed: 12,BS CY (2023),Unnamed: 14,Unnamed: 15,BS SE (2023),Unnamed: 17,Unnamed: 18,"BS Electives (19 Batch, CS/AI/SE)",Unnamed: 20,Unnamed: 21,MS (CS),Sheet Name,Tuesday,"BS Electives (19 Batch, CS/AI/DS/CY)",Wednesday,Thursday
,,,,BS CS (2022),,,BS DS (2022),,,BS AI (2022),,,BS CY (2022),,,BS SE (2022),,,,,,MS (DS),Tuesday,,Repeat Courses,,
,,,,BS CS (2021),,,BS DS (2021),,,BS AI (2021),,,BS CY (2021),,,BS SE (2021),,,,,,MS (SE),Tuesday,,MS Electives (All Prgrms),,
,,,,BS CS (2020),,,BS DS (2020),,,BS AI (2020),,,BS CY (2020),,,BS SE (2020),,,,,,MS (CNS),Tuesday,,MS (AI),,
,08:30-09:50,,,10:00-11:20,,,11:30-12:50,,,01:00-02:20,,,02:30-03:50,,,03:55-05:15,,,,,,06:45-08:05,Tuesday,Room,05:20-06:40 ,,
,PF (CS-E),,,AP (CS-E),,,Func Eng (CS-E) 11:30-01:15,,,,Islamic (CS-G) 02:00-03:45,,,,,OS (CY-T),,,,,,Ethical Hacking,Tuesday,C-301,App Prog (CS/SE/CNS),,
,Calculus (CS-F),,,PF (CS-F),,,TBW (CS-D),,,AP (CS-F),,,"OOP (CS-C, 22)",,,"OOP (CS-D, 22)",,,,,,Emperical SE,Tuesday,C-302,Math Found of AI,,
,AP (CS-G),,,Calculus (CS-G),,,PF (CS-G),,,Discrete (CS-F),,,,Func Eng (CS-F) 02:30-04:15,,,,,,,,NLP,Tuesday,C-303,NLP,,
,SDA (CS-B),,,Comp Net (CS-B/Z),,,Comp Net (CS-F/H),,,S/w Req Engg (SE-E),,,Calculus (CS-E),,,"Algo (CS-B, 21)",,,,,,Cloud Computing,Tuesday,C-304,Responsible Design,,
,Islamic (CS-B) 08:30-10:15,,,,,,,Func Eng (CS-C) 12:30-02:15,,,,,Psychology,,,,,,,,,,Tuesday,C-305,App Image Processing,,
,Func Eng (CS-D) 08:30-10:15,,,,,,LA (SE-D),,,AP (DS-C),,,"OOP (SE-A, 22)",,,"OOP (SE-B, 22)",,,,,,,Tuesday,C-307,ML for CySec,,
,Calculus (DS-B),,,PF (DS-B),,,AP (DS-B),,,Calculus (DS-A),,,German Lang (SE),,,German Lang (CS),,,,,,Data St (MS Def),Tuesday,C-308,Data St (MS Def),,
,Discrete (CS-K),,,Data St (CS-K),,,DataWare (DS-N),,,DLD (AI-A),,,"Algo (CS-A,21)",,,"Algo (CS-D,21)",,,,,,,Tuesday,C-309,,,
,AP (SE-B),,,PF (SE-B),,,Calculus (SE-B),,,Calculus (SE-A),,,Fund of Mgt,,,Fund of Mgt (SE-C),,,,,,,Tuesday,C-310,,,
,Sec S/w Design (CY-M),,,LA (SE-C),,,LA (CS-E),,,LA (CS-G),,,Mktg Mgt (CS-A),,,Mktg Mgt (CS-B),,,,,,,Tuesday,C-311,,,
,PF (SE-A),,,AP (SE-A),,,Discrete (CS-C),,,Discrete (CS-H),,,Freelancing (CS-A),,,Freelancing (CS-B),,,,,,,Tuesday,C-401,,,
,COAL (CS-G),,,Discrete (CS-G),,,S/w Qual Engg (SE-P),,,Web Engg (SE-P),,,PPIT (CS-D),,,Info Sec (CS-D),,,,,,,Tuesday,C-402,,,
,PF (DS-C),,,Calculus (DS-C),,,Web Engg (SE-Q),,,TBW (SE-Q),,,Info Sec (CS-E),,,PPIT (CS-E),,,,,,,Tuesday,C-403,,,
,S/w Qual Engg (SE-Q),,,MLOPs,,,Prob & Stats (CY-A),,,Fund of SE (CY-A),,,Info Sec (CS-F),,,PPIT (CS-F),,,,,,,Tuesday,C-404,,,
,AP (DS-A),,,PF (DS-A),,,COAL (CS-K),,,COAL (CS-J),,,Islamic (B),,,Pak Studies (B),,,,,,,Tuesday,C-405,,,
,Data St (CS-J),,,Discrete (CS-J),,,Fund of SE (CY-B),,,Prob & Stats (CY-B),,,Fund of Mgt (AI-A),,,Fund of Mgt (AI-B),,,,,,,Tuesday,C-406,,,
,COAL (CS-H),,,LA (CS-H),,,DLD (DS-D),,,Intro to DS (DS-D),,,Mktg Mgt (AI-A),,,Mktg Mgt (AI-B),,,,,,,Tuesday,C-407,,,
,Comp Net (CS-A) ReSch,,,Data St (AI-B),,,DLD (AI-B),,,Prog for AI (AI-B),,,Comp Net (DS-N),,,Info Sec (DS-N),,,,,,,Tuesday,C-408,,,
,DAV (DS-M),,,DataWare (DS-M),,,OS (DS-M),,,OS (DS-N),,,"Algo (CS-C,21)",,,"Diff Eq (B, 22)",,,,,,,Tuesday,C-409,,,
,DLD (DS-A),,,Intro to DS (DS-A),,,Data St (DS-A),,,Prob & Stats (DS-A),,,"Diff Eq (C, 22)",,,"Diff Eq (A, 22)",,,,,,,Tuesday,C-410,,,
,Intro to DS (DS-B),,,DLD (DS-B),,,Prob & Stats (DS-B),,,Data St (DS-B),,,,,,,,,,,,,Tuesday,B-130,,,
,TBW (SE-P),,,DLD (DS-C),,,Data St (SE-E),,,,,,HCI (SE-E),,,,,,,,,,Tuesday,B-227,,,
,Net & Cy Sec-I (CY-C),,,HCI (SE-G),,,S/w Req Engg (SE-G),,,Data St (SE-G),,,Freelancing (CS-C),,,,,,,,,,Tuesday,B-229,,,
,LA (CS-F),,,S/w Req Engg (SE-F),,,Data St (SE-F),,,HCI (SE-F),,,Mktg Mgt (SE-A),,,Mktg Mgt (SE-B),,,,,,,Tuesday,B-230,,,
,LA (SE-B),,,"OS (CS-B,21) ReSch",,,Deep Learning (B),,,Automata (CS-Z),,,Digital Mktg (CY-T),,,,,,,,,,Tuesday,A-108,,,
,COAL (CS-Z),,,Prob & Stats (CY-C),,,Automata (CS-B),,,SDA (CS-F),,,"OS (CS-C,21)",,,"OS (CS-D,21)",,,,,,,Tuesday,A-211,,,
,Prob & Stats (CY-D),,,Net & Cy Sec-I (CY-D),,,Data St (CY-C/D),,,PDC (CY-M),,,Info Assurance (CY-M),,,,,,,,,,Tuesday,A-301,,,
,SDA (CS-G),,,Comp Net (CS-G),,,Automata (CS-G),,,SDA (CS-H),,,"DB (SE, 21)",,,,,,,,,,Tuesday,A-302,,,
,TBW (CS-E),,,Automata (CS-H),,,DevOps (A),,,DevOps (B),,,"OOP (AI/DS-C, 22)",,,,,,,,,,Tuesday,A-303,,,
,Stat & Modeling (CS-D),,,DAV (DS-N),,,TBW (CS-A/Y),,,DB (CY-T),,,S/w Re-Engg (SE-P),,,Fund of SPM (SE-P),,,,,,,Tuesday,A-305,,,
,Automata (CS-F),,,TBW (CS-C),,,SDA (CS-Z),,,NLP,,,Fund of SPM (SE-Q),,,S/w Re-Engg (SE-Q),,,,,,,Tuesday,A-310,,,
,Data St (AI-A),,,Prog for AI (AI-A),,,NLP (SE),,,PDC,,,"DB (CS-A,21)",,,"DB (CS-B, 21)",,,,,,,Tuesday,A-311,,,
,Discrete (CS-Z),,,COAL (CS-F),,,TBW (AI-J),,,TBW (AI-K),,,,,,,,,,,,,Tuesday,A-314,,,
,TBW (DS-U),,,Discrete (CS-D),,,Net & Cy Sec-II (CY-T) 11:35-12:55,,,COAL (CS-C) ReSch,,,,,,,,,,,,,Tuesday,A-315,,,
,Blockchain & Crypto (SE),,,Stat & Modeling (CS-A),,,Stat & Modeling (CS-E),,,Stat & Modeling (CS-Y/C),,,,,,,,,,,,,Tuesday,A-316,,,
,Cloud Comp,,,Fund of SPM (SE-R),,,Blockchain & Crypto,,,Reserved by Dr. Hasan,,,Reserved by Dr. Hasan,,,Reserved by Dr. Hasan,,,,,,,Tuesday,C-110,,,
,Data St (CS-B),,,Data St (CS-A),,,LA (SE-A),,,,,,,,,,,,,,,,Tuesday,Seminar A,,,
,,,,,,,,,,,,,,,,,,,,,,,Tuesday,B-129,,,
,,,,BS CS (2022),,,BS DS (2022),,,BS AI (2022),,,BS CY (2022),,,BS SE (2022),,,,,,MS (DS),Wednesday,,Repeat Courses,,
,,,,BS CS (2021),,,BS DS (2021),,,BS AI (2021),,,BS CY (2021),,,BS SE (2021),,,,,,MS (SE),Wednesday,,MS Electives (All Prgrms),,
,,,,BS CS (2020),,,BS DS (2020),,,BS AI (2020),,,BS CY (2020),,,BS SE (2020),,,,,,MS (CNS),Wednesday,,MS (AI),,
,08:30-09:50,,,10:00-11:20,,,11:30-12:50,,,01:00-02:20,,,02:30-03:50,,,03:55-05:15,,,,,,06:45-08:05,Wednesday,,05:20-06:40 ,Room,
,SE,,,PF (CS-B),,,Calculus (CS-B),,,Calculus (CS-A),,,"OOP (CS-A, 22)",,,"OOP (CS-B, 22)",,,,,,DS Tools & Tech,Wednesday,,Stat & Math for DS,C-301,
,HCI (SE-C),,,AP (CS-A),,,Algo (SE-P),,,OS (SE-P),,,OS (AI-J),,,Info Sec (CS-F) ReSch,,,,,,Adv Algo,Wednesday,,Adv OS,C-302,
,PF (CS-C),,,Calculus (CS-C),,,OS (SE-Q),,,Algo (SE-Q),,,"OOP (CY-A, 22)",,,"OOP (CY-B, 22)",,,,,,Applied Info Sec,Wednesday,,Applied Info Sec,C-303,
,Calculus (CS-D),,,PF (CS-D),,,AP (CS-D),,,AP (CS-C),,,S/w Re-Engg (SE-R),,,,,,,,,Adv S/w Arch,Wednesday,,Adv Qual Assur,C-304,
,AP (AI-A),,,PF (AI-A),,,Func Eng (AI-A) 11:30-01:15,,,,Func Eng (AI-B) 02:00-03:45,,,,,,,,,,,Adv AI,Wednesday,,Deep Learning,C-305,
,Calculus (AI-B),,,AP (AI-B),,,PF (AI-B),,,AP (CS-B),,,Fund of Mgt (SE-A),,,Digital Mktg (CY-T),,,,,,,Wednesday,,,C-307,
,PF (CY-A),,,Calculus (CY-A),,,Ideology of Pak (CY-A) 11:30-01:15,,,,Ideology of Pak (CY-B) 02:00-03:45,,,,,,,,,,,,Wednesday,,,C-308,
,Data St (CS-E),,,COAL (CS-E),,,Discrete (CS-E),,,,,,,,,,,,,,,,Wednesday,,,C-309,
,Ideology of Pak (DS-B) 08:30-10:15,,,,,,TBW (CS-B/Z),,,Ideology of Pak (DS-A) 01:00-02:45,,,,,,,,,,,,,Wednesday,,,C-310,
,Func Eng (SE-B) 08:30-10:15,,,,,,PF (CS-A),,,Func Eng (SE-A) 01:00-02:45,,,,LA (CS-A) 03:00-04:20,,,,,,,,,Wednesday,,,C-311,
,Discrete (CS-B),,,Discrete (CS-A),,,COAL (CS-A),,,LA (CS-K),,,PPIT (CS-A),,,PPIT (CS-B),,,,,,,Wednesday,,,C-401,
,COAL (CS-C),,,LA (CS-C),,,LA (CS-B),,,COAL (CS-B),,,PPIT (CS-C),,,Info Sec (CS-C),,,,,,,Wednesday,,,C-402,
