Monday,"FSC
TimeTable for Fall-2023",Unnamed: 2,Unnamed: 3,BS CS (2023),Unnamed: 5,Unnamed: 6,BS DS (2023),Unnamed: 8,Unnamed: 9,BS AI (2023),Unnamed: 11,Unnamed: 12,BS CY (2023),Unnamed: 14,Unnamed: 15,BS SE (2023),Unnamed: 17,Unnamed: 18,"BS Electives (19 Batch, CS/AI/SE)",Unnamed: 20,Unnamed: 21,MS (CS),Tuesday,"BS Electives (19 Batch, CS/AI/DS/CY)",Wednesday,Thursday
,Func Eng (SE-B) 08:30-10:15,,,,,,PF (CS-A),,,Func Eng (SE-A) 01:00-02:45,,,,LA (CS-A) 03:00-04:20,,,,,,,,,,,C-311,
,Discrete (CS-B),,,Discrete (CS-A),,,COAL (CS-A),,,LA (CS-K),,,PPIT (CS-A),,,PPIT (CS-B),,,,,,,,,C-401,
,COAL (CS-C),,,LA (CS-C),,,LA (CS-B),,,COAL (CS-B),,,PPIT (CS-C),,,Info Sec (CS-C),,,,,,,,,C-402,
,COAL (CS-D),,,LA (CS-D),,,Data St (CS-D),,,Data St (CS-C),,,Info Sec (CS-B),,,Info Sec (CS-A),,,,,,,,,C-403,
,AP (CY-B),,,PF (CY-B),,,Calculus (CY-B),,,,,,AP (CY-A),,,,,,,,,,,,C-404,
,Algo (DS-M),,,Data St (CS-G),,,Data St (CS-H),,,Automata (CS-D),,,,,,,,,,,,,,,C-405,
,Ethical Hacking,,,Data St (CS-F),,,LA (CS-J),,,Prob & Stats (AI-A),,,Prob & Stats (AI-C),,,Prob & Stats (AI-B),,,,,,,,,C-406,
,Algo (CY-T),,,DLD (AI-C),,,Data St (AI-C),,,Prog for AI (AI-C),,,,,,"DB (CS-D, 21)",,,,,,,,,C-407,
,DLD (AI-D),,,Prob & Stats (AI-D),,,Prog for AI (AI-D),,,Data St (AI-D),,,PPIT (DS-N),,,Deep Learn (DS-N),,,,,,,,,C-408,
,Data St (DS-C),,,Intro to DS (DS-C),,,Prob & Stats (DS-C),,,Fund of SE (CY-D),,,"Diff Eq (D, 22)",,,"Diff Eq (E, 22)",,,,,,,,,C-409,
,Intro to DS (DS-D),,,Prob & Stats (DS-D),,,Data St (DS-D) ,,,Fund of SE (DS-D),,,,,,,,,,,,,,,C-410,
,DLD (CY-A),,,Net & Cy Sec-I (CY-A),,,DLD (CY-D),,,DLD (CY-B),,,Islamic (A),,,,,,,,,,,,B-130,
,Net & Cy Sec-I (CY-B),,,Data St (CY-B),,,Fund of SE (CY-C),,,Data St (CY-A),,,DLD (CY-C),,,,,,,,,,,,B-227,
,Data St (SE-A),,,Data St (SE-B),,,Fund of SE (DS-B),,,Fund of SE (DS-A),,,Mktg Mgt (CS-C),,,Mktg Mgt (SE-C),,,,,,,,,B-229,
,S/w Req Engg (SE-B),,,S/w Req Engg (SE-C),,,Data St (SE-C),,,HCI (SE-B),,,,,,,,,,,,,,,B-230,
,,,,HCI (SE-D),,,HCI (SE-A),,,S/w Req Engg (SE-A),,,,,,,,,,,,,,,A-108,
,S/w Req Engg (SE-D),,,LA (SE-G),,,LA (SE-F),,,LA (SE-E),,,FSM,,,FSM,,,,,,,,,A-211,
,Comp Net (CS-E),,,SDA (CS-E),,,Automata (CS-C),,,Data St (SE-D),,,,,,Pak Studies (A),,,,,,,,,A-301,
,SDA (CS-C),,,Comp Net (CS-C/D),,,Comp Net (CS-A/Y),,,SDA (CS-A),,,"OS (CS-A, 21)",,,"OS (CS-B, 21)",,,,,,,,,A-302,
,Automata (CS-A),,,Automata (CS-Y),,,SDA (CS-D),,,Automata (CS-E),,,"DB (CS-C, 21)",,,,,,,,,,,,A-303,
,TBW (CS-G),,,Algo (DS-N),,,Stat & Modeling (CS-F/G),,,SDA (CS-Y),,,,,,,,,,,,,,,A-305,
,Stat & Modeling (CS-H),,,AI (CS-A),,,Robo Tech (CS-Robo),,,Stat & Modeling (CS-Z),,,"OOP (AI/DS-A, 22)",,,"OOP (AI/DS-B, 22)",,,,,,,,,A-310,
,Entre (AI-JK),,,Entre (AI-JK),,,MLOPs (AI-JK),,,Blockchain & Crypto (AI-JK),,,Comp Vision (AI-J),,,Comp Vision (AI-K),,,,,,,,,A-311,
,OS (AI-K),,,Knowl Rep (AI-K),,,Algo (AI-K),,,ML (AI-K),,,,,,,,,,,,,,,A-314,
,Algo (AI-J),,,ML (AI-J),,,Knowl Rep (AI-J),,,,,,,,,,,,,,,,,,A-315,
,TBW (DS-N),,,Stat & Modeling (CS-B),,,DIP,,,Cloud Comp (SE-A),,,,,,,,,,,,,,,A-316,
,SMD (A),,,TBW (DS-M),,,SMD (B),,,,,,Sir Hassan Raza,,,Sir Hassan Raza,,,,,,,,,C-110,
,,,,Web Prog,,,AI (CS-B),,,,,,,,,,,,,,,,,,Seminar A,
,,,,Deep Learning (A-202),,,,,,PPIT Seminar (Auditorium),,,,,,,,,,,,,,,,
,,,,Cloud Comp (SE-B) A-203,,,,,,,,,,,,,,,,,,,,,,
,,,,TBW (CS-F/H) A-201,,,,,,,,,,,,,,,,,,,,,,
,,,,BS CS (2022),,,BS DS (2022),,,BS AI (2022),,,BS CY (2022),,,BS SE (2022),,,,,,MS (DS),,Repeat Courses,,
,,,,BS CS (2021),,,BS DS (2021),,,BS AI (2021),,,BS CY (2021),,,BS SE (2021),,,,,,MS (SE),,MS Electives (All Prgrms),,
,,,,BS CS (2020),,,BS DS (2020),,,BS AI (2020),,,BS CY (2020),,,BS SE (2020),,,,,,MS (CNS),,MS (AI),,
,08:30-09:50,,,10:00-11:20,,,11:30-12:50,,,01:00-02:20,,,02:30-03:50,,,03:55-05:15,,,,,,06:45-08:05,,05:20-06:40 ,,Room
